house_id,predicted_price
1331375,80511.98
1630115,303975.26933333336
1645745,399611.55
1336775,106861.57
1888274,269554.33666666667
1567679,278279.09
1298770,341725.36
1662892,37783.11
1514321,176816.96
1795371,212456.91
1872688,213072.96
1115697,144103.88
1752850,383912.94
1298746,348635.91
1464795,196076.93833333335
1982802,166007.285
1823033,245863.95
1585193,114539.57
1843329,352389.44
1424530,48319.31
1040934,427667.14
1483696,382363.41
1436940,260997.44
1608175,43900.2
1902237,175097.96
1563689,286802.34150000004
1976354,184189.28
1872940,325055.65
1704427,356513.64
1131878,328593.45
1803015,55610.34
1897548,198162.63
1739654,176749.54166666663
1658430,212235.965
1282370,156667.22333333333
1512890,69460.41
1597534,117193.49
1174073,276158.97
1179366,424427.84
1757117,97095.54
1148656,106498.98
1776320,404372.43
1155319,272082.64
1675362,208019.65399999998
1748129,58157.92
1648926,267043.2
1050783,60928.59
1843278,273126.15
1372090,230915.91
1583730,372661.787
1785440,323468.75
1459181,195001.66416666668
1172373,59622.23
1863428,333927.8
1441768,122730.55
1391522,256030.21
1514959,272844.25
1245154,377260.57
1819123,284636.3851904762
1590249,276506.0
1454241,443192.76
1842811,69702.535
1900872,258531.62
1226463,237197.8
1838399,295074.76
1918258,72069.29
1505853,94719.94
1368297,335808.09
1364171,75220.11
1312331,154650.29
1690593,285989.43
1376720,57538.92
1948257,404121.4
1782823,87023.18
1992569,372661.787
1869181,57377.53
1273905,83512.52
1620111,270559.94
1513082,218267.29
1691647,299108.09
1940791,57408.24
1315709,185205.5
1607614,411304.31
1637288,497528.0
1761461,253677.65
1976582,81414.45
1261848,288652.53
1541480,193554.26
1423388,196738.5896190476
1441081,215232.27
1876203,74682.14
1906830,117814.71
1785964,65776.13
1640596,398735.71
1530222,174749.3
1678434,322189.83
1657557,316666.03
1200571,200843.31
1799836,302358.89
1124016,352379.57
1985411,270423.69666666666
1628410,364409.95
1613699,62707.2
1600040,152660.31
1244290,410845.96
1554191,299266.21
1472329,323856.63
1050498,86518.19
1034991,220686.77
1029323,66376.12
1224300,370881.677
1644542,122572.91841666667
1745244,340052.21
1493567,193426.67
1594882,305882.355
1655085,337976.7
1670541,261297.51
1054223,286939.21
1074177,451277.46
1187739,195817.32
1630028,331078.78
1025051,197718.37
1363143,342768.89
1880616,272516.61
1371184,201764.24
1422468,207617.15399999998
1682343,248192.55799999996
1468993,134598.32
1335369,185705.66
1223033,291503.74983333336
1618848,190314.01
1200250,312250.86966666667
1546960,384617.87
1789534,48285.73
1654193,119731.79
1774861,119731.79
1294123,63708.75428571429
1132389,328773.1157142857
1023244,397133.63
1556979,240926.98
1345607,65793.7059047619
1543125,325472.03
1785813,171022.18
1232810,429943.96
1055500,240926.98
1904524,344716.8
1313543,57193.23
1896398,97139.45
1061170,251642.44
1605340,321245.65
1873279,167204.91
1980931,169325.96
1947837,261304.14
1523163,368162.33
1168025,285862.5405714286
1255889,303920.79
1902558,237648.68
1405049,339196.7
1851237,237197.8
1901086,285772.952
1610017,86617.13
1015072,386042.56
1299339,402590.14
1023245,113841.33
1394532,257090.72
1415271,411268.01
1149435,333617.04
1419562,264403.8766666667
1371166,282652.855
1867596,258531.62
1536578,170615.02
1191722,201567.24
1867660,459795.66
1352525,348908.21
1471588,304180.1115
1169020,189715.51
1829980,237126.45
1336456,313975.848
1551547,216118.37
1084525,55610.48
1802024,227163.44392857142
1208690,84078.32
1831765,78079.7
1041337,55432.87
1742399,175726.11833333332
1311228,324938.51166666666
1211440,271830.6266666667
1928685,429122.69
1438401,207016.03
1578620,73234.76
1286919,65420.45
1621362,214625.49
1891818,242606.01
1224082,247633.76
1441305,390417.42
1785728,250518.89
1188771,98936.08
1744066,149316.74
1932778,248747.88
1998416,326182.3
1646039,334940.38
1856969,410285.58
1809964,137066.38
1378201,275090.36
1492069,415341.67
1964568,348458.97
1847152,175728.3258333333
1041205,139182.17366666667
1088529,91942.85
1264482,316666.03
1630628,438333.07
1802916,185224.08
1333975,40548.16
1356040,233540.35333333336
1612540,56946.27
1483627,328538.33
1173197,208019.65399999998
1724010,68788.14333333333
1255615,181589.25
1345844,326669.87
1894745,268220.47
1897945,250755.57842857146
1798569,125988.12
1321395,143500.64
1966278,48037.71
1573934,341827.4393333334
1370939,335069.85
1715730,37604.14
1434414,87631.23
1311541,211043.605
1808149,57453.53
1519036,333617.04
1126650,61606.46
1346856,411268.01
1178752,103649.17
1955444,135271.58666666667
1946823,268993.99
1956249,302380.65
1361116,401240.2
1953547,141288.55233333335
1387353,50066.27
1444191,413907.7
1681415,184189.28
1785835,373466.30799999996
1341484,78154.27
1219378,473521.1
1713767,62698.54
1020316,105342.77
1699778,258528.42
1376556,86587.63
1928980,423027.48
1321240,120588.61
1584304,125126.8
1964668,69575.26
1539402,412577.32
1169447,199622.46
1685799,436985.95
1946819,251609.39
1142073,349771.74600000004
1168921,353179.32
1693370,159326.47
1755830,173473.78409523808
1367533,402118.29
1618993,475573.9
1915967,285631.51
1631130,222429.17
1988509,70595.39
1388944,96262.38
1771003,272296.91
1187863,257388.26
1257275,366554.7
1474884,405470.95
1696653,81451.69
1478107,207016.03
1526803,423607.37
1314648,55312.84
1638350,366238.82
1320114,67233.53
1592594,391511.32
1894657,128710.32
1576880,218745.94
1354547,185205.5
1753927,55432.87
1803775,319849.34
1301923,112683.01
1712718,156143.6433333333
1782816,352208.03
1733312,324294.35
1762141,196585.92
1238711,271991.13
1818778,96373.55
1762071,333064.242
1187695,309221.7846666667
1892672,78554.69
1122156,212180.18
1986255,359723.82333333336
1896276,372684.08
1758223,270581.1
1752010,176816.96
1651404,431162.92
